nama_shelter;alamat_shelter;latitude;longitude;jenis_hewan
Ambi MURAI BATU;Garot, Kec. Darul Imarah, Kabupaten Aceh Besar, Aceh 23233;5.525168011177660;95.296196922357200;Lainnya
White House 86;Lamgugob, Syiah Kuala, Banda Aceh City, Aceh 24415;5.579883988761110;95.350470777605700;Lainnya
Rumah Bg Syaloen;Ulee Tuy, Darul Imarah, Aceh Besar Regency, Aceh 23234;5.506266719530460;95.312220967976000;Lainnya
Rumah Rafi;Jl. Pati No.26, Keuramat, Kec. Kuta Alam, Kota Banda Aceh, Aceh 24415;5.564817239261390;95.326574675420200;Lainnya
ILUH SHELTER;Jl. Pura Pengulapan, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361;-8.806080271201140;115.165674248593000;Anjing
Utiek Cat Day Care;Jl. Wayan Gentuh, Dalung, Kec. Kuta Utara, Kabupaten Badung, Bali 80361;-8.620393217739520;115.178953822544000;Kucing
Bali house dog rescue by nia nia;Jl. Pejeng Kaja - Tampak Siring No.18, Sanding, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552;-8.452121409200270;115.302270282648000;Anjing
BARC 4 BALI DOGS - Bali Adoption Rehab Centre;Jl. Sandat No.24, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571;-8.497739872392760;115.266074145169000;Anjing
Villa Kitty Foundation;MAS, Ubud, Gianyar Regency, Bali 80571;-8.536107511884460;115.278090440817000;Kucing
BAWA (Bali Animal Welfare Association) Main Office;Jl. A.A. Gede Rai No.550, Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571;-8.541539786755560;115.259894335978000;Anjing
The Bali Dog Halfway House;Jl. Lalang Temu No.4, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361;-8.778635738952120;115.159358282500000;Anjing
Karuna Island;Jl. Yudistira, Sading, Kec. Mengwi, Kabupaten Badung, Bali 80115;-8.586301597318510;115.197767338468000;Anjing
Bali Dog Association Sanctuary;Banjar Aseman Jl. Dr. Ir. Soekarno, Manikyang, Selemadeg, Tabanan Regency, Bali 82121;-8.429210006848380;115.059448568812000;Anjing
Ews Gold Fish;Tegallinggah, Kec. Penebel, Kabupaten Tabanan, Bali 82152;-8.431514355674730;115.109316852844000;Lainnya
PANGLIMA BIRD FARM BALI ?2019;Jl. Pantai Tegal Besar, Negari, Kec. Banjarangkan, Kabupaten Klungkung, Bali;-8.552060542283370;115.373189566824000;Lainnya
Vethoscope Dog Rehab Village;Jl. Sekar Sari IX No.17, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237;-8.636248547036870;115.268132810584000;Anjing
Bali Wildlife Rescue Centre, Friend of the National Parks Foundation;Banjar Dukuh, Jl. Teratai No.49, Dauh Peken, Tabanan, Tabanan Regency, Bali 82113;-8.536442974402480;115.112264285921000;Lainnya
Canfgu dog adoption;Kuta, Badung Regency, Bali 80361;-8.697486754837560;115.180678103017000;Anjing
elix gerih LBF;Abiansemal, Kec. Abiansemal, Kabupaten Badung, Bali 80352;-8.542192072612150;115.215457643010000;Lainnya
Vian Rabbitry Bali;Jl. Pulau Panjang 1 No.6, Dauh Puri Kauh, Kec. Denpasar Bar., Kota Denpasar, Bali 80113;-8.669760249987990;115.204799396883000;Lainnya
BALI ANIMAL DEFENDER;Jl. Kebudayaan No.10, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80224;-8.691387099644730;115.227798770104000;Kucing
BALI ANIMAL DEFENDER;Jl. Kebudayaan No.10, Sidakarya, Denpasar Selatan, Kota Denpasar, Bali 80225;-8.691387099644730;115.227798770104000;Anjing
Ali Chiken Shop Home;Bali, Kota Denpasar, Kec. Denpasar Utara, Ubung Kaja, I;-8.615965001319030;115.202555555593000;Lainnya
BALI REPTILE RESCUE;Jl. Taman, Gumbrih, Kec. Pekutatan, Kabupaten Jembrana, Bali 82262;-8.424030037810570;114.881437163131000;Lainnya
Yayasan Suara Komunitas Satwa;Jl. Taman Sari Madu No.30, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361;-8.652581621644840;115.172982881269000;Lainnya
The Odd Cat Bali (Cat Boarding & Cat Adoption Centre);Bjr kulibul kangin, Jl. Raya Padonan, Tibubeneng, Kec. Kuta Utara, Kabupaten Badung, Bali 80361;-8.622711891902900;115.155816744628000;Kucing
Chowie Blessing House Kennel;Gg. Satawana No.32, Tonja, Kec. Denpasar Utara, Kota Denpasar, Bali 80239;-8.622033006933380;115.226541227588000;Anjing
